paygrade,y0,y2,y3,y4,y6,y8,y10,y12,y14,y16,y18,y20,y22,y24,y26,y28,y30,y32,y34,y36,y38,y40
o10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16441.80,16441.80,16441.80,16441.80,16441.80,16441.80,16441.80,16441.80,16441.80,16441.80,16441.80
o9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15546.00,15770.70,16094.10,16441.80,16441.80,16441.80,16441.80,16441.80,16441.80,16441.80,16441.80
o8,10999.50,11360.40,11599.50,11666.10,11964.60,12462.90,12579.00,13052.10,13188.30,13596.00,14186.10,14730.00,15093.30,15093.30,15093.30,15093.30,15471.30,15471.30,15857.40,15857.40,15857.40,15857.40
o7,9140.10,9564.60,9761.10,9917.40,10200.00,10479.60,10802.70,11124.60,11447.70,12462.90,13319.70,13319.70,13319.70,13319.70,13388.10,13388.10,13656.00,13656.00,13656.00,13656.00,13656.00,13656.00
o6,6931.20,7614.60,8114.40,8114.40,8145.30,8494.50,8540.70,8540.70,9025.80,9884.10,10387.50,10890.90,11177.40,11467.80,12030.00,12030.00,12270.30,12270.30,12270.30,12270.30,12270.30,12270.30
o5,5778.00,6509.10,6959.40,7044.30,7325.70,7493.70,7863.60,8135.40,8486.10,9022.50,9277.50,9530.10,9816.60,9816.60,9816.60,9816.60,9816.60,9816.60,9816.60,9816.60,9816.60,9816.60
o4,4985.40,5770.80,6156.30,6241.80,6599.10,6982.80,7460.40,7831.80,8089.80,8238.30,8324.10,8324.10,8324.10,8324.10,8324.10,8324.10,8324.10,8324.10,8324.10,8324.10,8324.10,8324.10
o3,4383.30,4968.60,5362.50,5847.30,6127.80,6435.00,6633.90,6960.60,7131.30,7131.30,7131.30,7131.30,7131.30,7131.30,7131.30,7131.30,7131.30,7131.30,7131.30,7131.30,7131.30,7131.30
o2,3787.50,4313.40,4967.70,5135.70,5241.30,5241.30,5241.30,5241.30,5241.30,5241.30,5241.30,5241.30,5241.30,5241.30,5241.30,5241.30,5241.30,5241.30,5241.30,5241.30,5241.30,5241.30
o1,3287.10,3421.80,4136.40,4136.40,4136.40,4136.40,4136.40,4136.40,4136.40,4136.40,4136.40,4136.40,4136.40,4136.40,4136.40,4136.40,4136.40,4136.40,4136.40,4136.40,4136.40,4136.40
o3e,0.00,0.00,0.00,5847.30,6127.80,6435.00,6633.90,6960.60,7236.30,7395.00,7610.70,7610.70,7610.70,7610.70,7610.70,7610.70,7610.70,7610.70,7610.70,7610.70,7610.70,7610.70
o2e,0.00,0.00,0.00,5135.70,5241.30,5408.10,5689.80,5907.60,6069.60,6069.60,6069.60,6069.60,6069.60,6069.60,6069.60,6069.60,6069.60,6069.60,6069.60,6069.60,6069.60,6069.60
o1e,0.00,0.00,0.00,4136.40,4416.90,4580.10,4747.20,4911.00,5135.70,5135.70,5135.70,5135.70,5135.70,5135.70,5135.70,5135.70,5135.70,5135.70,5135.70,5135.70,5135.70,5135.70
w5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8054.70,8463.00,8767.50,9104.10,9104.10,9560.10,9560.10,10037.40,10037.40,10540.20,10540.20
w4,4530.00,4872.60,5012.40,5150.10,5387.10,5621.70,5859.30,6216.00,6529.20,6827.10,7071.30,7309.20,7658.40,7945.20,8272.80,8272.80,8437.80,8437.80,8437.80,8437.80,8437.80,8437.80
